Mon,Tue,Wed,Thu,Fri,Sat,Sun,lat,long,rad
0.285714286,0.869565217,0.4,0.939759036,0.578947368,1,1,40.45262,-79.94877,25
1,0.875,1,1,0.88,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,1,1,1,1,1,1,40.45262,-79.94877,25
1,0.235294118,1,0,0.925925926,1,1,40.45262,-79.94877,25
1,0,0.827586207,0,1,1,1,40.45262,-79.94877,25
1,0,0.752941176,0,1,1,1,40.45262,-79.94877,25
1,0,1,0,0.891304348,1,1,40.45262,-79.94877,25
1,0,1,0,0.98245614,1,1,40.45262,-79.94877,25
1,0,0.759493671,0,1,1,1,40.45262,-79.94877,25
1,0,0.808988764,0,1,1,1,40.45262,-79.94877,25
0.28,0,0.864583333,0,0.927272727,1,1,40.45262,-79.94877,25
0.451612903,0,0.971014493,0,0.54,1,1,40.45262,-79.94877,25
0.479166667,0,0.939759036,0,0.189189189,0.782608696,1,40.45262,-79.94877,25
0.212121212,0,0.755102041,0,0,0.578125,1,40.45262,-79.94877,25
0.333333333,0,0.730769231,0,0.0425531915,0.8125,1,40.45262,-79.94877,25
0.465116279,0,0.741935484,0,0,0.68,1,40.45262,-79.94877,25
0.263157895,0.183098592,0.509090909,0.0588235294,0.176470588,0.6,0.416666667,40.45262,-79.94877,25
0.0357142857,0.1875,0.323529412,0.965517241,0.403225806,0.553191489,1,40.45262,-79.94877,25
0,0.12195122,0.4,1,0.452830189,0.391304348,1,40.45262,-79.94877,25
0,0,0.403225806,1,0.392156863,0.5,0,40.45262,-79.94877,25
0,0,0.75,0.833333333,0.422222222,1,0.0357142857,40.45262,-79.94877,25
0,0,0.621621622,0.639344262,0.5,1,0,40.45262,-79.94877,25
0,0,0.681818182,0.566666667,0,1,0.422222222,40.45262,-79.94877,25
0,0,0,0.566666667,0,1,0.573529412,40.45262,-79.94877,25
0,0,0,1,0.434782609,0.952380952,0.519230769,40.45262,-79.94877,25
0,0,0,1,1,1,0.526315789,40.45262,-79.94877,25
0.565217391,0,0,0.850574713,1,1,0.735294118,40.45262,-79.94877,25
0.382716049,0.0447761194,0.0845070423,0.741573034,1,1,1,40.45262,-79.94877,25
0,0.253521127,0.301587302,0.983050847,1,0.79245283,1,40.45262,-79.94877,25
0,0.422222222,0.2375,0.589041096,1,0.593220339,0,40.45262,-79.94877,25
0.857142857,0.470588235,0.317460317,0.603174603,1,0.813559322,0,40.45262,-79.94877,25
1,0.435483871,0.707865169,0.614035088,1,0.702702703,0.377777778,40.45262,-79.94877,25
0.928571429,0.36,0.711340206,0.71641791,1,1,0.5,40.45262,-79.94877,25
0.307692308,0.452830189,0.715789474,0.567567568,1,1,0.440677966,40.45262,-79.94877,25
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
